pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
566,https://www.facebook.com/bathertrunks,https://www.facebook.com/bathertrunks,8b7a932d40cbb9fa7aeef6bbb8ecb5297fea73f9e201d96b0f92f5ef9da312c7,2,631|632,664|665,Bather|Bather,partial-803,positive,424665560958239,363,30,false,,false,NO_KNOWN_ISSUES
567,https://www.facebook.com/NorthShoreExchange,https://www.facebook.com/northshoreexchange,8c20b91ec86dbb752377ced6c5c9f7e36322f62ae642e28fae5e3a385718233f,1,341,373,North Shore Exchange,partial-803,zero,134487760044439,0,0,true,,false,NO_KNOWN_ISSUES
568,https://www.facebook.com/CAMIANDJAX,https://www.facebook.com/camiandjax,8caccd24e666d182a3c274530a52acd2f80a573b3e65450c0ae619e94d83dd58,1,956,990,CAMI AND JAX,partial-803,zero,189192307954794,0,0,true,,false,NO_KNOWN_ISSUES
569,https://www.facebook.com/p/norivalsbrand-100091854441802,https://www.facebook.com/p/norivalsbrand-100091854441802,8cc36dfaacc6e361747617507e2e0522da594f44e5843cfd8f6ddda9792d6d9b,1,302,334,No Rivals,partial-803,positive,117007368037207,239,30,false,,false,NO_KNOWN_ISSUES
570,https://www.facebook.com/isabellakronfashion,https://www.facebook.com/isabellakronfashion,8d43fd102fee30768f83e9c9e37bbf7604be6ed8dd540dc2cb0d6b9a7e10da69,1,448,480,ISABELLA KRON,partial-803,positive,106458660818376,1,1,true,,false,NO_KNOWN_ISSUES
571,https://www.facebook.com/noragardnerapparel,https://www.facebook.com/noragardnerapparel,8d8f91f86b108955740b9a150096450d155959986d566d62a63761477fc5ba95,1,838,872,Nora Gardner,continuation-209,error,,,,,no_items,,
572,https://www.facebook.com/jadelynnbrooke,https://www.facebook.com/jadelynnbrooke,8d9175d79f5381e2b5e7055de02a04fc6968f1a4ccc37260211c6aed6a93d6a0,1,894,928,Jadelynn Brooke,partial-803,positive,758240547559826,59,29,false,,false,NO_KNOWN_ISSUES
573,https://www.facebook.com/voffhaus,https://www.facebook.com/voffhaus,8dd4cd752214f3abfdd35e8748a9af3e4a8ef1d5a878ed68d0b30074fed65288,1,699,733,Voff Haus,continuation-209,zero,603592779514619,0,0,true,,false,NO_KNOWN_ISSUES
574,https://www.facebook.com/pages/61573508854581,https://www.facebook.com/pages/61573508854581,8dfdcba7617f843c37501fe1362235ceabd1721c22a5c51114a9c3c558a65272,1,285,317,INFLOW Swimwear,continuation-209,error,,,,,no_items,,
575,https://www.facebook.com/evewearsleepwear,https://www.facebook.com/evewearsleepwear,8e48558dc487aa000c4426d79c8b6b6e7e83966be0111b895bbf5ef10f4adb82,1,525,558,Evewear,partial-803,zero,141632466473341,0,0,true,,false,NO_KNOWN_ISSUES
576,https://www.facebook.com/modernenvyapparel,https://www.facebook.com/modernenvyapparel,8e7dd7859afbe0f7f8a5677d97e94d6aa1817e43bada3e5e60ce571c03602a36,1,850,884,Modern Envy Apparel,partial-803,zero,708603375878797,0,0,true,,false,NO_KNOWN_ISSUES
